licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
442850,434536,"SPARK NEW ZEALAND TRADING LIMITED",,1845.0,"MCQUOIDS ROAD ~JN6N~","Current","TX",false
442849,434530,"SPARK NEW ZEALAND TRADING LIMITED",,2665.0,"MCQUOIDS ROAD ~JN6N~","Current","TX",false
442848,434535,"SPARK NEW ZEALAND TRADING LIMITED",,768.0,"MCQUOIDS ROAD ~JN6N~","Current","TX",false
442845,434532,"SPARK NEW ZEALAND TRADING LIMITED",,1845.0,"PAHIATUA TOWN ~BNNE~","Current","TX",false
442844,434539,"SPARK NEW ZEALAND TRADING LIMITED",,2665.0,"PAHIATUA TOWN ~BNNE~","Current","TX",false
442843,434538,"SPARK NEW ZEALAND TRADING LIMITED",,768.0,"PAHIATUA TOWN ~BNNE~","Current","TX",false
442842,434540,"SPARK NEW ZEALAND TRADING LIMITED",,877.5,"PAHIATUA TOWN ~BNNE~","Current","TX",false
442841,434542,"SMITH CRANE & CONSTRUCTION LTD","EEX219",171.95,"CNR CURRAN & SARSFIELD STREETS, HERNE BAY","Current","TX",false
442839,434527,"SPARK NEW ZEALAND TRADING LIMITED",,877.5,"ISLAND BAY NORTH","Current","TX",false
442838,434519,"SPARK NEW ZEALAND TRADING LIMITED",,768.0,"MOTUNUI METHANEX ~DRSC~","Current","TX",false
